[20:55:31] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:55:35] [ServerMain/INFO]: Loaded 7 recipes
[20:55:35] [ServerMain/INFO]: Loaded 1271 advancements
[20:55:36] [Server thread/INFO]: Starting minecraft server version 1.20.1
[20:55:36] [Server thread/INFO]: Loading properties
[20:55:36] [Server thread/INFO]: Default game type: SURVIVAL
[20:55:36] [Server thread/INFO]: Generating keypair
[20:55:36] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:55:36] [Server thread/INFO]: Using epoll channel type
[20:55:36] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:55:36] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:55:36] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:55:36] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:55:36] [Server thread/INFO]: Preparing level "world"
[20:55:48] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:55:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
